X,Y,Elevation,Target
549678,213758,110,2
549678,213758,115,2
549678,213758,120,3
549678,213758,125,3
549678,213758,130,4
549678,213758,135,4
549678,213758,140,5
549678,213768,80,9
549678,213768,85,9
549678,213768,90,9
549678,213768,95,0
549678,213768,100,0
549678,213768,105,1
549678,213768,110,2
549678,213768,115,2
549678,213768,120,3
549678,213768,125,3
549678,213768,130,4
549678,213768,135,5
549678,213768,140,5
549678,213778,80,9
549678,213778,85,9
549678,213778,90,0
549678,213778,95,0
549678,213778,100,1
549678,213778,105,1
549678,213778,110,2
549678,213778,115,2
549678,213778,120,3
549678,213778,125,3
549678,213778,130,4
549678,213778,135,5
549678,213778,140,5
549678,213788,80,9
549678,213788,85,9
549678,213788,90,0
549678,213788,95,0
549678,213788,100,1
549678,213788,105,1
549678,213788,110,2
549678,213788,115,2
549678,213788,120,3
549678,213788,125,4
549678,213788,130,4
549678,213788,135,5
549678,213788,140,5
549678,213798,80,0
549678,213798,85,0
549678,213798,90,0
549678,213798,95,0
549678,213798,100,1
549678,213798,105,1
549678,213798,110,2
549678,213798,115,3
549678,213798,120,3
549678,213798,125,4
549678,213798,130,4
549678,213798,135,5
549678,213798,140,5
549678,213808,80,0
549678,213808,85,0
549678,213808,90,0
549678,213808,95,0
549678,213808,100,1
549678,213808,105,1
549678,213808,110,2
549678,213808,115,3
549678,213808,120,3
549678,213808,125,4
549678,213808,130,4
549678,213808,135,5
549678,213808,140,6
549678,213818,80,0
549678,213818,85,0
549678,213818,90,0
549678,213818,95,1
549678,213818,100,1
549678,213818,105,2
549678,213818,110,2
549678,213818,115,3
549678,213818,120,3
549678,213818,125,4
549678,213818,130,4
549678,213818,135,5
549678,213818,140,6
549678,213828,80,0
549678,213828,85,0
549678,213828,90,0
549678,213828,95,1
549678,213828,100,1
549678,213828,105,2
549678,213828,110,2
549678,213828,115,3
549678,213828,120,3
549678,213828,125,4
549678,213828,130,5
549678,213828,135,5
549678,213828,140,6
549688,213758,80,9
549688,213758,85,9
549688,213758,90,0
549688,213758,95,0
549688,213758,100,1
549688,213758,105,1
549688,213758,110,2
549688,213758,115,2
549688,213758,120,3
549688,213758,125,3
549688,213758,130,4
549688,213758,135,5
549688,213758,140,5
549688,213768,80,9
549688,213768,85,9
549688,213768,90,0
549688,213768,95,0
549688,213768,100,1
549688,213768,105,1
549688,213768,110,2
549688,213768,115,2
549688,213768,120,3
549688,213768,125,4
549688,213768,130,4
549688,213768,135,5
549688,213768,140,5
549688,213778,80,9
549688,213778,85,9
549688,213778,90,0
549688,213778,95,0
549688,213778,100,1
549688,213778,105,1
549688,213778,110,2
549688,213778,115,2
549688,213778,120,3
549688,213778,125,4
549688,213778,130,4
549688,213778,135,5
549688,213778,140,5
549688,213788,80,9
549688,213788,85,0
549688,213788,90,0
549688,213788,95,0
549688,213788,100,1
549688,213788,105,1
549688,213788,110,2
549688,213788,115,3
549688,213788,120,3
549688,213788,125,4
549688,213788,130,4
549688,213788,135,5
549688,213788,140,5
549688,213798,80,0
549688,213798,85,0
549688,213798,90,0
549688,213798,95,0
549688,213798,100,1
549688,213798,105,1
549688,213798,110,2
549688,213798,115,3
549688,213798,120,3
549688,213798,125,4
549688,213798,130,4
549688,213798,135,5
549688,213798,140,6
549688,213808,80,0
549688,213808,85,0
549688,213808,90,0
549688,213808,95,0
549688,213808,100,1
549688,213808,105,2
549688,213808,110,2
549688,213808,115,3
549688,213808,120,3
549688,213808,125,4
549688,213808,130,5
549688,213808,135,5
549688,213808,140,6
549688,213818,80,0
549688,213818,85,0
549688,213818,90,0
549688,213818,95,1
549688,213818,100,1
549688,213818,105,2
549688,213818,110,2
549688,213818,115,3
549688,213818,120,3
549688,213818,125,4
549688,213818,130,5
549688,213818,135,5
549688,213818,140,6
549688,213828,80,0
549688,213828,85,0
549688,213828,90,0
549688,213828,95,1
549688,213828,100,1
549688,213828,105,2
549688,213828,110,2
549688,213828,115,3
549688,213828,120,4
549688,213828,125,4
549688,213828,130,5
549688,213828,135,5
549688,213828,140,6
549698,213758,80,9
549698,213758,85,9
549698,213758,90,0
549698,213758,95,0
549698,213758,100,1
549698,213758,105,1
549698,213758,110,2
549698,213758,115,2
549698,213758,120,3
549698,213758,125,4
549698,213758,130,4
549698,213758,135,5
549698,213758,140,5
549698,213768,80,9
549698,213768,85,9
549698,213768,90,0
549698,213768,95,0
549698,213768,100,1
549698,213768,105,1
549698,213768,110,2
549698,213768,115,2
549698,213768,120,3
549698,213768,125,4
549698,213768,130,4
549698,213768,135,5
549698,213768,140,5
549698,213778,80,9
549698,213778,85,0
549698,213778,90,0
549698,213778,95,0
549698,213778,100,1
549698,213778,105,1
549698,213778,110,2
549698,213778,115,3
549698,213778,120,3
549698,213778,125,4
549698,213778,130,4
549698,213778,135,5
549698,213778,140,6
549698,213788,80,0
549698,213788,85,0
549698,213788,90,0
549698,213788,95,0
549698,213788,100,1
549698,213788,105,2
549698,213788,110,2
549698,213788,115,3
549698,213788,120,3
549698,213788,125,4
549698,213788,130,4
549698,213788,135,5
549698,213788,140,6
549698,213798,80,0
549698,213798,85,0
549698,213798,90,0
549698,213798,95,0
549698,213798,100,1
549698,213798,105,2
549698,213798,110,2
549698,213798,115,3
549698,213798,120,3
549698,213798,125,4
549698,213798,130,5
549698,213798,135,5
549698,213798,140,6
549698,213808,80,0
549698,213808,85,0
549698,213808,90,0
549698,213808,95,1
549698,213808,100,1
549698,213808,105,2
549698,213808,110,2
549698,213808,115,3
549698,213808,120,3
549698,213808,125,4
549698,213808,130,5
549698,213808,135,5
549698,213808,140,6
549698,213818,80,0
549698,213818,85,0
549698,213818,90,0
549698,213818,95,1
549698,213818,100,1
549698,213818,105,2
549698,213818,110,2
549698,213818,115,3
549698,213818,120,4
549698,213818,125,4
549698,213818,130,5
549698,213818,135,5
549698,213818,140,6
549698,213828,80,0
549698,213828,85,0
549698,213828,90,1
549698,213828,95,1
549698,213828,100,1
549698,213828,105,2
549698,213828,110,3
549698,213828,115,3
549698,213828,120,4
549698,213828,125,4
549698,213828,130,5
549698,213828,135,5
549698,213828,140,6
549708,213758,80,9
549708,213758,85,0
549708,213758,90,0
549708,213758,95,0
549708,213758,100,1
549708,213758,105,1
549708,213758,110,2
549708,213758,115,3
549708,213758,120,3
549708,213758,125,4
549708,213758,130,4
549708,213758,135,5
549708,213758,140,5
549708,213768,80,9
549708,213768,85,0
549708,213768,90,0
549708,213768,95,0
549708,213768,100,1
549708,213768,105,1
549708,213768,110,2
549708,213768,115,3
549708,213768,120,3
549708,213768,125,4
549708,213768,130,4
549708,213768,135,5
549708,213768,140,6
549708,213778,80,0
549708,213778,85,0
549708,213778,90,0
549708,213778,95,0
549708,213778,100,1
549708,213778,105,2
549708,213778,110,2
549708,213778,115,3
549708,213778,120,3
549708,213778,125,4
549708,213778,130,4
549708,213778,135,5
549708,213778,140,6
549708,213788,80,0
549708,213788,85,0
549708,213788,90,0
549708,213788,95,0
549708,213788,100,1
549708,213788,105,2
549708,213788,110,2
549708,213788,115,3
549708,213788,120,3
549708,213788,125,4
549708,213788,130,5
549708,213788,135,5
549708,213788,140,6
549708,213798,80,0
549708,213798,85,0
549708,213798,90,0
549708,213798,95,1
549708,213798,100,1
549708,213798,105,2
549708,213798,110,2
549708,213798,115,3
549708,213798,120,4
549708,213798,125,4
549708,213798,130,5
549708,213798,135,5
549708,213798,140,6
549708,213808,80,0
549708,213808,85,0
549708,213808,90,0
549708,213808,95,1
549708,213808,100,1
549708,213808,105,2
549708,213808,110,2
549708,213808,115,3
549708,213808,120,4
549708,213808,125,4
549708,213808,130,5
549708,213808,135,5
549708,213808,140,6
549708,213818,80,0
549708,213818,85,0
549708,213818,90,0
549708,213818,95,1
549708,213818,100,1
549708,213818,105,2
549708,213818,110,3
549708,213818,115,3
549708,213818,120,4
549708,213818,125,4
549708,213818,130,5
549708,213818,135,5
549708,213818,140,6
549708,213828,80,0
549708,213828,85,0
549708,213828,90,1
549708,213828,95,1
549708,213828,100,2
549708,213828,105,2
549708,213828,110,3
549708,213828,115,3
549708,213828,120,4
549708,213828,125,4
549708,213828,130,5
549708,213828,135,6
549708,213828,140,6
549718,213758,80,0
549718,213758,85,0
549718,213758,90,0
549718,213758,95,1
549718,213758,100,1
549718,213758,105,2
549718,213758,110,2
549718,213758,115,3
549718,213758,120,3
549718,213758,125,4
549718,213758,130,4
549718,213758,135,5
549718,213758,140,6
549718,213768,80,0
549718,213768,85,0
549718,213768,90,0
549718,213768,95,1
549718,213768,100,1
549718,213768,105,2
549718,213768,110,2
549718,213768,115,3
549718,213768,120,3
549718,213768,125,4
549718,213768,130,5
549718,213768,135,5
549718,213768,140,6
549718,213778,80,0
549718,213778,85,0
549718,213778,90,0
549718,213778,95,1
549718,213778,100,1
549718,213778,105,2
549718,213778,110,2
549718,213778,115,3
549718,213778,120,3
549718,213778,125,4
549718,213778,130,5
549718,213778,135,5
549718,213778,140,6
549718,213788,80,0
549718,213788,85,0
549718,213788,90,0
549718,213788,95,1
549718,213788,100,1
549718,213788,105,2
549718,213788,110,2
549718,213788,115,3
549718,213788,120,4
549718,213788,125,4
549718,213788,130,5
549718,213788,135,5
549718,213788,140,6
549718,213798,80,0
549718,213798,85,0
549718,213798,90,0
549718,213798,95,1
549718,213798,100,1
549718,213798,105,2
549718,213798,110,2
549718,213798,115,3
549718,213798,120,4
549718,213798,125,4
549718,213798,130,5
549718,213798,135,5
549718,213798,140,6
549718,213808,80,0
549718,213808,85,0
549718,213808,90,0
549718,213808,95,1
549718,213808,100,1
549718,213808,105,2
549718,213808,110,3
549718,213808,115,3
549718,213808,120,4
549718,213808,125,4
549718,213808,130,5
549718,213808,135,5
549718,213808,140,6
549718,213818,80,0
549718,213818,85,0
549718,213818,90,1
549718,213818,95,1
549718,213818,100,2
549718,213818,105,2
549718,213818,110,3
549718,213818,115,3
549718,213818,120,4
549718,213818,125,4
549718,213818,130,5
549718,213818,135,6
549718,213818,140,6
549718,213828,80,1
549718,213828,85,1
549718,213828,90,1
549718,213828,95,1
549718,213828,100,2
549718,213828,105,2
549718,213828,110,3
549718,213828,115,3
549718,213828,120,4
549718,213828,125,5
549718,213828,130,5
549718,213828,135,6
549718,213828,140,6
549728,213758,80,0
549728,213758,85,0
549728,213758,90,0
549728,213758,95,1
549728,213758,100,1
549728,213758,105,2
549728,213758,110,2
549728,213758,115,3
549728,213758,120,3
549728,213758,125,4
549728,213758,130,5
549728,213758,135,5
549728,213758,140,6
549728,213768,80,0
549728,213768,85,0
549728,213768,90,0
549728,213768,95,1
549728,213768,100,1
549728,213768,105,2
549728,213768,110,2
549728,213768,115,3
549728,213768,120,3
549728,213768,125,4
549728,213768,130,5
549728,213768,135,5
549728,213768,140,6
549728,213778,80,0
549728,213778,85,0
549728,213778,90,0
549728,213778,95,1
549728,213778,100,1
549728,213778,105,2
549728,213778,110,2
549728,213778,115,3
549728,213778,120,4
549728,213778,125,4
549728,213778,130,5
549728,213778,135,5
549728,213778,140,6
549728,213788,80,0
549728,213788,85,0
549728,213788,90,0
549728,213788,95,1
549728,213788,100,1
549728,213788,105,2
549728,213788,110,3
549728,213788,115,3
549728,213788,120,4
549728,213788,125,4
549728,213788,130,5
549728,213788,135,5
549728,213788,140,6
549728,213798,80,0
549728,213798,85,0
549728,213798,90,1
549728,213798,95,1
549728,213798,100,1
549728,213798,105,2
549728,213798,110,3
549728,213798,115,3
549728,213798,120,4
549728,213798,125,4
549728,213798,130,5
549728,213798,135,6
549728,213798,140,6
549728,213808,80,0
549728,213808,85,0
549728,213808,90,1
549728,213808,95,1
549728,213808,100,2
549728,213808,105,2
549728,213808,110,3
549728,213808,115,3
549728,213808,120,4
549728,213808,125,4
549728,213808,130,5
549728,213808,135,6
549728,213808,140,6
549728,213818,80,0
549728,213818,85,1
549728,213818,90,1
549728,213818,95,1
549728,213818,100,2
549728,213818,105,2
549728,213818,110,3
549728,213818,115,3
549728,213818,120,4
549728,213818,125,5
549728,213818,130,5
549728,213818,135,6
549728,213818,140,6
549728,213828,80,1
549728,213828,85,1
549728,213828,90,1
549728,213828,95,1
549728,213828,100,2
549728,213828,105,2
549728,213828,110,3
549728,213828,115,3
549728,213828,120,4
549728,213828,125,5
549728,213828,130,5
549728,213828,135,6
549728,213828,140,6
549738,213758,80,0
549738,213758,85,0
549738,213758,90,1
549738,213758,95,1
549738,213758,100,1
549738,213758,105,2
549738,213758,110,2
549738,213758,115,3
549738,213758,120,4
549738,213758,125,4
549738,213758,130,5
549738,213758,135,5
549738,213758,140,6
549738,213768,80,0
549738,213768,85,0
549738,213768,90,0
549738,213768,95,1
549738,213768,100,1
549738,213768,105,2
549738,213768,110,2
549738,213768,115,3
549738,213768,120,4
549738,213768,125,4
549738,213768,130,5
549738,213768,135,5
549738,213768,140,6
549738,213778,80,0
549738,213778,85,0
549738,213778,90,1
549738,213778,95,1
549738,213778,100,1
549738,213778,105,2
549738,213778,110,3
549738,213778,115,3
549738,213778,120,4
549738,213778,125,4
549738,213778,130,5
549738,213778,135,5
549738,213778,140,6
549738,213788,80,0
549738,213788,85,0
549738,213788,90,1
549738,213788,95,1
549738,213788,100,1
549738,213788,105,2
549738,213788,110,3
549738,213788,115,3
549738,213788,120,4
549738,213788,125,4
549738,213788,130,5
549738,213788,135,6
549738,213788,140,6
549738,213798,80,0
549738,213798,85,0
549738,213798,90,1
549738,213798,95,1
549738,213798,100,2
549738,213798,105,2
549738,213798,110,3
549738,213798,115,3
549738,213798,120,4
549738,213798,125,4
549738,213798,130,5
549738,213798,135,6
549738,213798,140,6
549738,213808,80,0
549738,213808,85,1
549738,213808,90,1
549738,213808,95,1
549738,213808,100,2
549738,213808,105,2
549738,213808,110,3
549738,213808,115,3
549738,213808,120,4
549738,213808,125,5
549738,213808,130,5
549738,213808,135,6
549738,213808,140,6
549738,213818,80,1
549738,213818,85,1
549738,213818,90,1
549738,213818,95,1
549738,213818,100,2
549738,213818,105,2
549738,213818,110,3
549738,213818,115,4
549738,213818,120,4
549738,213818,125,5
549738,213818,130,5
549738,213818,135,6
549738,213818,140,6
549738,213828,80,1
549738,213828,85,1
549738,213828,90,1
549738,213828,95,1
549738,213828,100,2
549738,213828,105,2
549738,213828,110,3
549738,213828,115,4
549738,213828,120,4
549738,213828,125,5
549738,213828,130,5
549738,213828,135,6
549738,213828,140,7
549748,213758,80,0
549748,213758,85,0
549748,213758,90,1
549748,213758,95,1
549748,213758,100,1
549748,213758,105,2
549748,213758,110,2
549748,213758,115,3
549748,213758,120,4
549748,213758,125,4
549748,213758,130,5
549748,213758,135,5
549748,213758,140,6
549748,213768,80,0
549748,213768,85,0
549748,213768,90,1
549748,213768,95,1
549748,213768,100,1
549748,213768,105,2
549748,213768,110,3
549748,213768,115,3
549748,213768,120,4
549748,213768,125,4
549748,213768,130,5
549748,213768,135,5
549748,213768,140,6
549748,213778,80,0
549748,213778,85,0
549748,213778,90,1
549748,213778,95,1
549748,213778,100,2
549748,213778,105,2
549748,213778,110,3
549748,213778,115,3
549748,213778,120,4
549748,213778,125,4
549748,213778,130,5
549748,213778,135,6
549748,213778,140,6
549748,213788,80,0
549748,213788,85,1
549748,213788,90,1
549748,213788,95,1
549748,213788,100,2
549748,213788,105,2
549748,213788,110,3
549748,213788,115,3
549748,213788,120,4
549748,213788,125,5
549748,213788,130,5
549748,213788,135,6
549748,213788,140,6
549748,213798,80,0
549748,213798,85,1
549748,213798,90,1
549748,213798,95,1
549748,213798,100,2
549748,213798,105,2
549748,213798,110,3
549748,213798,115,3
549748,213798,120,4
549748,213798,125,5
549748,213798,130,5
549748,213798,135,6
549748,213798,140,6
549748,213808,80,1
549748,213808,85,1
549748,213808,90,1
549748,213808,95,1
549748,213808,100,2
549748,213808,105,2
549748,213808,110,3
549748,213808,115,4
549748,213808,120,4
549748,213808,125,5
549748,213808,130,5
549748,213808,135,6
549748,213808,140,6
549748,213818,80,1
549748,213818,85,1
549748,213818,90,1
549748,213818,95,1
549748,213818,100,2
549748,213818,105,2
549748,213818,110,3
549748,213818,115,4
549748,213818,120,4
549748,213818,125,5
549748,213818,130,5
549748,213818,135,6
549748,213818,140,7
549748,213828,80,1
549748,213828,85,1
549748,213828,90,1
549748,213828,95,2
549748,213828,100,2
549748,213828,105,3
549748,213828,110,3
549748,213828,115,4
549748,213828,120,4
549748,213828,125,5
549748,213828,130,6
549748,213828,135,6
549748,213828,140,7
