X,Y,Elevation,Target
549700,213850,20,4
549700,213850,30,4
549700,213850,40,5
549700,213900,-20,2
549700,213900,-10,3
549700,213900,0,3
549700,213900,10,4
549700,213900,20,4
549700,213900,30,5
549700,213900,40,5
549750,213550,-20,1
549750,213550,-10,2
549750,213550,0,2
549750,213550,10,3
549750,213550,20,3
549750,213550,30,3
549750,213550,40,4
549750,213600,-20,1
549750,213600,-10,2
549750,213600,0,2
549750,213600,10,3
549750,213600,20,3
549750,213600,30,4
549750,213600,40,4
549750,213650,-20,1
549750,213650,-10,2
549750,213650,0,2
549750,213650,10,3
549750,213650,20,3
549750,213650,30,4
549750,213650,40,4
549750,213700,-20,1
549750,213700,-10,2
549750,213700,0,3
549750,213700,10,3
549750,213700,20,4
549750,213700,30,4
549750,213700,40,4
549750,213750,-20,2
549750,213750,-10,2
549750,213750,0,3
549750,213750,10,3
549750,213750,20,4
549750,213750,30,4
549750,213750,40,5
549750,213800,-20,2
549750,213800,-10,2
549750,213800,0,3
549750,213800,10,3
549750,213800,20,4
549750,213800,30,4
549750,213800,40,5
549750,213850,-20,2
549750,213850,-10,2
549750,213850,0,3
549750,213850,10,3
549750,213850,20,4
549750,213850,30,5
549750,213850,40,5
549750,213900,-20,2
549750,213900,-10,3
549750,213900,0,3
549750,213900,10,4
549750,213900,20,4
549750,213900,30,5
549750,213900,40,5
549800,213550,-20,1
549800,213550,-10,2
549800,213550,0,2
549800,213550,10,3
549800,213550,20,3
549800,213550,30,3
549800,213550,40,4
549800,213600,-20,1
549800,213600,-10,2
549800,213600,0,2
549800,213600,10,3
549800,213600,20,3
549800,213600,30,4
549800,213600,40,4
549800,213650,-20,1
549800,213650,-10,2
549800,213650,0,2
549800,213650,10,3
549800,213650,20,3
549800,213650,30,4
549800,213650,40,4
549800,213700,-20,1
549800,213700,-10,2
549800,213700,0,2
549800,213700,10,3
549800,213700,20,4
549800,213700,30,4
549800,213700,40,4
549800,213750,-20,2
549800,213750,-10,2
549800,213750,0,3
549800,213750,10,3
549800,213750,20,4
549800,213750,30,4
549800,213750,40,5
549800,213800,-20,2
549800,213800,-10,2
549800,213800,0,3
549800,213800,10,3
549800,213800,20,4
549800,213800,30,4
549800,213800,40,5
549800,213850,-20,2
549800,213850,-10,2
549800,213850,0,3
549800,213850,10,3
549800,213850,20,4
549800,213850,30,5
549800,213850,40,5
549800,213900,-20,2
549800,213900,-10,3
549800,213900,0,3
549800,213900,10,4
549800,213900,20,4
549800,213900,30,5
549800,213900,40,5
549850,213550,-20,1
549850,213550,-10,2
549850,213550,0,2
549850,213550,10,3
549850,213550,20,3
549850,213550,30,3
549850,213550,40,4
549850,213600,-20,1
549850,213600,-10,2
549850,213600,0,2
549850,213600,10,3
549850,213600,20,3
549850,213600,30,4
549850,213600,40,4
549850,213650,-20,1
549850,213650,-10,2
549850,213650,0,2
549850,213650,10,3
549850,213650,20,3
549850,213650,30,4
549850,213650,40,4
549850,213700,-20,1
549850,213700,-10,2
549850,213700,0,2
549850,213700,10,3
549850,213700,20,4
549850,213700,30,4
549850,213700,40,4
549850,213750,-20,2
549850,213750,-10,2
549850,213750,0,3
549850,213750,10,3
549850,213750,20,4
549850,213750,30,4
549850,213750,40,5
549850,213800,-20,2
549850,213800,-10,2
549850,213800,0,3
549850,213800,10,3
549850,213800,20,4
549850,213800,30,4
549850,213800,40,5
549850,213850,-20,2
549850,213850,-10,2
549850,213850,0,3
549850,213850,10,3
549850,213850,20,4
549850,213850,30,5
549850,213850,40,5
549850,213900,-20,2
549850,213900,-10,3
549850,213900,0,3
549850,213900,10,4
549850,213900,20,4
549850,213900,30,5
549850,213900,40,5
549900,213550,-20,1
549900,213550,-10,2
549900,213550,0,2
549900,213550,10,3
549900,213550,20,3
549900,213550,30,3
549900,213550,40,4
549900,213600,-20,1
549900,213600,-10,2
549900,213600,0,2
549900,213600,10,3
549900,213600,20,3
549900,213600,30,4
549900,213600,40,4
549900,213650,-20,1
549900,213650,-10,2
549900,213650,0,2
549900,213650,10,3
549900,213650,20,3
549900,213650,30,4
549900,213650,40,4
549900,213700,-20,1
549900,213700,-10,2
549900,213700,0,2
549900,213700,10,3
549900,213700,20,4
549900,213700,30,4
549900,213700,40,5
549900,213750,-20,2
549900,213750,-10,2
549900,213750,0,3
549900,213750,10,3
549900,213750,20,4
549900,213750,30,4
549900,213750,40,5
549900,213800,-20,2
549900,213800,-10,2
549900,213800,0,3
549900,213800,10,3
549900,213800,20,4
549900,213800,30,4
549900,213800,40,5
549900,213850,-20,2
549900,213850,-10,2
549900,213850,0,3
549900,213850,10,3
549900,213850,20,4
549900,213850,30,5
549900,213850,40,5
549900,213900,-20,2
549900,213900,-10,3
549900,213900,0,3
549900,213900,10,4
549900,213900,20,4
549900,213900,30,5
549900,213900,40,5
549950,213550,-20,1
549950,213550,-10,1
549950,213550,0,2
549950,213550,10,3
549950,213550,20,3
549950,213550,30,4
549950,213550,40,4
549950,213600,-20,1
549950,213600,-10,2
549950,213600,0,2
549950,213600,10,3
549950,213600,20,3
549950,213600,30,4
549950,213600,40,4
549950,213650,-20,1
549950,213650,-10,2
549950,213650,0,2
549950,213650,10,3
549950,213650,20,3
549950,213650,30,4
549950,213650,40,4
549950,213700,-20,1
549950,213700,-10,2
549950,213700,0,2
549950,213700,10,3
549950,213700,20,4
549950,213700,30,4
549950,213700,40,5
549950,213750,-20,2
549950,213750,-10,2
549950,213750,0,3
549950,213750,10,3
549950,213750,20,4
549950,213750,30,4
549950,213750,40,5
549950,213800,-20,2
549950,213800,-10,2
549950,213800,0,3
549950,213800,10,3
549950,213800,20,4
549950,213800,30,4
549950,213800,40,5
549950,213850,-20,2
549950,213850,-10,2
549950,213850,0,3
549950,213850,10,3
549950,213850,20,4
549950,213850,30,5
549950,213850,40,5
549950,213900,-20,2
549950,213900,-10,3
549950,213900,0,3
549950,213900,10,4
549950,213900,20,4
549950,213900,30,5
549950,213900,40,5
550000,213550,-20,1
550000,213550,-10,1
550000,213550,0,2
550000,213550,10,3
550000,213550,20,3
550000,213550,30,4
550000,213550,40,4
550000,213600,-20,1
550000,213600,-10,2
550000,213600,0,2
550000,213600,10,3
550000,213600,20,3
550000,213600,30,4
550000,213600,40,4
550000,213650,-20,1
550000,213650,-10,2
550000,213650,0,2
550000,213650,10,3
550000,213650,20,3
550000,213650,30,4
550000,213650,40,4
550000,213700,-20,1
550000,213700,-10,2
550000,213700,0,2
550000,213700,10,3
550000,213700,20,4
550000,213700,30,4
550000,213700,40,5
550000,213750,-20,2
550000,213750,-10,2
550000,213750,0,3
550000,213750,10,3
550000,213750,20,4
550000,213750,30,4
550000,213750,40,5
550000,213800,-20,2
550000,213800,-10,2
550000,213800,0,3
550000,213800,10,3
550000,213800,20,4
550000,213800,30,4
550000,213800,40,5
550000,213850,-20,2
550000,213850,-10,2
550000,213850,0,3
550000,213850,10,3
550000,213850,20,4
550000,213850,30,4
550000,213850,40,5
550000,213900,-20,2
550000,213900,-10,3
550000,213900,0,3
550000,213900,10,4
550000,213900,20,4
550000,213900,30,5
550000,213900,40,5
550050,213550,-20,1
550050,213550,-10,1
550050,213550,0,2
550050,213550,10,3
550050,213550,20,3
550050,213550,30,4
550050,213550,40,4
550050,213600,-20,1
550050,213600,-10,2
550050,213600,0,2
550050,213600,10,3
550050,213600,20,3
550050,213600,30,4
550050,213600,40,4
550050,213650,-20,1
550050,213650,-10,2
550050,213650,0,2
550050,213650,10,3
550050,213650,20,3
550050,213650,30,4
550050,213650,40,4
550050,213700,-20,1
550050,213700,-10,2
550050,213700,0,2
550050,213700,10,3
550050,213700,20,4
550050,213700,30,4
550050,213700,40,5
550050,213750,-20,2
550050,213750,-10,2
550050,213750,0,3
